"Date","Price","Open","High","Low","Vol.","Change %"
"01/27/2026","484.56","479.97","487.90","479.97","1.32M","1.59%"
"01/26/2026","476.97","486.39","488.50","473.99","1.31M","-1.94%"
"01/23/2026","486.39","482.50","488.50","480.00","1.28M","1.19%"
"01/22/2026","480.69","479.00","483.32","478.60","779.26K","0.39%"
"01/21/2026","478.80","491.74","491.75","476.90","2.44M","-2.63%"
"01/20/2026","491.75","500.50","501.00","490.60","2.31M","-1.69%"
"01/19/2026","500.21","491.00","503.50","488.98","3.83M","2.30%"
"01/16/2026","488.96","481.15","491.90","480.10","2.21M","2.24%"
"01/15/2026","478.27","480.17","485.00","477.20","1.75M","-0.85%"
"01/14/2026","482.38","480.50","484.00","476.10","1.80M","0.53%"
"01/13/2026","479.84","474.20","482.00","462.00","3.13M","1.77%"
"01/12/2026","471.49","481.00","481.00","469.00","1.67M","-2.21%"
"01/09/2026","482.13","484.00","487.50","476.00","2.36M","-0.57%"
"01/08/2026","484.91","499.94","499.94","478.00","4.83M","-2.68%"
"01/07/2026","498.26","493.25","505.00","490.00","5.04M","1.25%"
"01/06/2026","492.11","469.99","495.80","463.00","9.41M","4.97%"
"01/05/2026","468.79","459.50","473.45","459.50","6.14M","2.18%"
"01/02/2026","458.81","451.99","460.03","449.00","5.58M","1.54%"
"01/01/2026","451.83","447.35","454.00","445.00","2.44M","1.68%"
"12/31/2025","444.38","448.00","449.90","443.50","1.23M","-0.61%"
"12/30/2025","447.10","444.99","448.70","444.00","2.98M","0.70%"
"12/29/2025","444.00","442.50","444.88","440.12","1.76M","0.45%"
"12/26/2025","442.01","440.00","443.00","439.05","1.79M","0.48%"
"12/24/2025","439.92","441.00","442.00","439.50","1.65M","-0.18%"
"12/23/2025","440.71","440.00","443.85","440.00","1.74M","0.28%"
"12/22/2025","439.46","438.75","443.50","435.25","1.95M","0.15%"
"12/19/2025","438.78","436.49","444.10","435.56","14.23M","0.95%"
"12/18/2025","434.63","431.02","435.99","431.00","5.92M","1.10%"
"12/17/2025","429.90","432.50","433.00","427.00","1.52M","-0.40%"
"12/16/2025","431.64","432.00","434.00","430.00","1.97M","-0.08%"
"12/15/2025","432.00","432.00","433.00","431.30","1.08M","0.05%"
"12/12/2025","431.80","429.26","432.97","429.26","2.95M","0.18%"
"12/11/2025","431.02","434.24","435.10","429.85","1.41M","-0.74%"
"12/10/2025","434.24","435.00","436.00","432.90","1.11M","0.03%"
