"Date","Price","Open","High","Low","Vol.","Change %"
"01/27/2026","279.624","280.050","280.050","279.483","","-0.14%"
"01/26/2026","280.025","280.500","280.625","279.775","","0.08%"
"01/25/2026","279.800","279.800","279.800","279.800","","0.00%"
"01/24/2026","279.800","279.800","279.800","279.800","","0.00%"
"01/23/2026","279.800","280.000","280.500","279.750","","-0.07%"
"01/22/2026","280.000","279.950","280.500","279.750","","0.08%"
"01/21/2026","279.775","280.000","280.000","279.725","","0.00%"
"01/20/2026","279.775","280.500","280.500","279.725","","-0.02%"
"01/19/2026","279.825","280.500","280.500","279.825","","-0.06%"
"01/18/2026","280.000","280.000","280.000","280.000","","0.00%"
"01/17/2026","280.000","280.000","280.000","280.000","","0.00%"
"01/16/2026","280.000","280.500","280.500","279.800","","-0.88%"
"01/15/2026","282.500","279.750","282.500","279.750","","0.95%"
"01/14/2026","279.850","279.950","280.000","279.800","","-0.05%"
"01/13/2026","280.000","280.000","280.750","279.875","","0.00%"
"01/12/2026","280.000","281.250","281.250","279.875","","0.00%"
"01/11/2026","280.000","280.000","280.000","280.000","","0.00%"
"01/10/2026","280.000","280.000","280.000","280.000","","0.00%"
"01/09/2026","280.000","281.250","281.250","279.900","","-0.84%"
"01/08/2026","282.375","282.650","283.235","279.925","","-0.10%"
"01/07/2026","282.650","282.550","282.750","279.950","","0.04%"
"01/06/2026","282.550","280.150","282.750","279.975","","0.86%"
"01/05/2026","280.150","281.250","281.250","279.975","","0.04%"
"01/04/2026","280.050","280.050","280.050","280.050","","0.00%"
"01/03/2026","280.050","280.050","280.050","280.050","","0.00%"
"01/02/2026","280.050","281.250","281.250","279.975","","0.01%"
"01/01/2026","280.025","280.025","280.025","280.025","","0.00%"
"12/31/2025","280.025","280.100","281.250","280.025","","-0.03%"
"12/30/2025","280.100","280.150","281.250","280.025","","-0.02%"
"12/29/2025","280.150","281.250","281.250","280.050","","0.02%"
"12/28/2025","280.100","280.100","280.100","280.100","","0.00%"
"12/27/2025","280.100","280.100","280.100","280.100","","0.00%"
"12/26/2025","280.100","281.250","281.250","280.025","","-0.01%"
"12/25/2025","280.125","280.125","280.125","280.125","","0.00%"
"12/24/2025","280.125","281.250","281.250","280.125","","-0.03%"
"12/23/2025","280.200","281.250","281.250","280.075","","0.05%"
"12/22/2025","280.050","281.250","282.500","280.025","","-0.07%"
"12/21/2025","280.250","280.250","280.250","280.250","","0.00%"
"12/20/2025","280.250","280.250","280.250","280.250","","0.00%"
"12/19/2025","280.250","281.250","281.250","280.150","","0.00%"
"12/18/2025","280.250","281.250","281.250","280.150","","0.00%"
"12/17/2025","280.250","281.250","281.250","280.150","","0.00%"
"12/16/2025","280.250","280.250","281.250","280.175","","0.00%"
"12/15/2025","280.250","281.250","281.250","280.175","","0.01%"
"12/14/2025","280.225","280.225","280.225","280.225","","0.00%"
"12/13/2025","280.225","280.225","280.225","280.225","","0.00%"
"12/12/2025","280.225","281.250","281.250","280.050","","-0.01%"
"12/11/2025","280.250","282.675","282.675","280.200","","-0.80%"
"12/10/2025","282.500","282.625","282.690","280.300","","0.76%"
"12/09/2025","280.375","280.600","282.625","280.225","","-0.75%"
"12/08/2025","282.500","282.375","282.640","282.360","","0.71%"
"12/07/2025","280.500","280.500","280.500","280.500","","0.00%"
"12/06/2025","280.500","280.500","280.500","280.500","","0.00%"
"12/05/2025","280.500","282.500","283.250","280.225","","-0.71%"
"12/04/2025","282.500","282.500","283.250","280.250","","0.00%"
"12/03/2025","282.500","280.500","283.250","280.250","","0.71%"
"12/02/2025","280.500","282.525","283.250","280.350","","-0.72%"
"12/01/2025","282.525","282.500","282.750","280.400","","0.01%"
"11/30/2025","282.500","282.500","282.500","282.500","","0.00%"
"11/29/2025","282.500","282.500","282.500","282.500","","0.00%"
"11/28/2025","282.500","282.550","282.550","280.400","","-0.02%"
"11/27/2025","282.550","282.550","283.125","280.425","","0.00%"
"11/26/2025","282.550","282.550","283.675","280.425","","0.00%"
"11/25/2025","282.550","282.575","283.675","280.425","","-0.01%"
"11/24/2025","282.575","282.575","283.675","280.450","","0.00%"
"11/23/2025","282.575","282.575","282.575","282.575","","0.00%"
"11/22/2025","282.575","282.575","282.575","282.575","","0.00%"
"11/21/2025","282.575","282.575","283.675","280.500","","0.00%"
"11/20/2025","282.575","282.575","283.675","280.550","","0.00%"
"11/19/2025","282.575","282.600","283.675","280.550","","-0.01%"
"11/18/2025","282.600","282.625","283.675","280.350","","-0.01%"
"11/17/2025","282.625","282.675","283.625","280.375","","-0.02%"
"11/16/2025","282.675","282.675","282.675","282.675","","0.00%"
"11/15/2025","282.675","282.675","282.675","282.675","","0.00%"
"11/14/2025","282.675","282.600","283.625","280.575","","0.03%"
"11/13/2025","282.600","282.750","283.625","280.650","","-0.05%"
"11/12/2025","282.750","282.765","283.625","280.675","","-0.01%"
"11/11/2025","282.765","282.765","283.515","280.700","","0.00%"
"11/10/2025","282.765","282.650","283.250","280.700","","0.04%"
"11/09/2025","282.650","282.650","282.650","282.650","","0.00%"
"11/08/2025","282.650","282.650","282.650","282.650","","0.00%"
"11/07/2025","282.650","282.765","283.250","280.725","","-0.04%"
"11/06/2025","282.765","282.675","283.250","280.750","","0.03%"
"11/05/2025","282.675","282.650","283.250","280.750","","0.01%"
"11/04/2025","282.650","282.650","283.125","280.750","","0.00%"
"11/03/2025","282.650","283.175","283.175","280.775","","-0.19%"
"11/02/2025","283.175","283.175","283.175","283.175","","0.00%"
"11/01/2025","283.175","283.175","283.175","283.175","","0.00%"
"10/31/2025","283.175","283.150","283.175","280.600","","0.01%"
"10/30/2025","283.150","283.115","283.250","280.775","","0.01%"
"10/29/2025","283.115","283.200","283.450","280.850","","-0.03%"
"10/28/2025","283.200","283.200","283.875","280.850","","0.00%"
"10/27/2025","283.200","283.200","283.890","280.875","","0.00%"
"10/26/2025","283.200","283.200","283.200","283.200","","0.00%"
"10/25/2025","283.200","283.200","283.200","283.200","","0.00%"
"10/24/2025","283.200","283.300","283.300","280.875","","-0.04%"
"10/23/2025","283.300","283.200","283.875","280.875","","0.04%"
"10/22/2025","283.200","283.315","283.890","280.950","","-0.04%"
"10/21/2025","283.315","282.950","283.875","280.950","","0.13%"
"10/20/2025","282.950","283.290","283.875","281.000","","-0.12%"
"10/19/2025","283.290","283.290","283.290","283.290","","0.00%"
"10/18/2025","283.290","283.290","283.290","283.290","","0.00%"
"10/17/2025","283.290","283.275","283.290","280.975","","0.01%"
"10/16/2025","283.275","283.090","283.290","280.975","","0.07%"
"10/15/2025","283.090","283.340","283.340","280.025","","-0.09%"
"10/14/2025","283.340","283.275","283.355","280.100","","0.02%"
"10/13/2025","283.275","283.225","283.275","281.100","","0.02%"
"10/12/2025","283.225","283.225","283.225","283.225","","0.00%"
"10/11/2025","283.225","283.225","283.225","283.225","","0.00%"
"10/10/2025","283.225","283.250","283.265","280.100","","-0.01%"
"10/09/2025","283.250","283.265","283.265","281.125","","-0.01%"
"10/08/2025","283.265","283.265","283.265","281.075","","0.00%"
"10/07/2025","283.265","283.300","283.315","280.125","","-0.01%"
"10/06/2025","283.300","283.325","283.325","280.200","","-0.01%"
"10/05/2025","283.325","283.325","283.325","283.325","","0.00%"
"10/04/2025","283.325","283.325","283.325","283.325","","0.00%"
"10/03/2025","283.325","283.800","283.815","280.200","","-0.17%"
"10/02/2025","283.800","283.375","283.800","280.200","","0.15%"
"10/01/2025","283.375","283.340","283.890","281.175","","0.01%"
"09/30/2025","283.340","283.500","283.890","281.175","","-0.06%"
"09/29/2025","283.500","283.330","283.875","281.250","","0.06%"
"09/28/2025","283.330","283.330","283.330","283.330","","0.00%"
"09/27/2025","283.330","283.330","283.330","283.330","","0.00%"
"09/26/2025","283.330","283.550","283.550","281.250","","-0.08%"
"09/25/2025","283.550","283.525","283.890","281.225","","0.01%"
